date,Humidity,Intraday_max,Intraday_mean,Intraday_min,Precipitation,Soil_max,Soil_mean,Soil_min,20cm,40cm,80cm,160cm,320cm
1967-01-01,63.71,,-14.1,,0.0,,-15.29,,,,,,
1967-01-02,76.25,,-20.56,,0.0,,-22.25,,,,,,
1967-01-03,77.38,,-20.81,,0.0,,-24.38,,,,,,
1967-01-04,75.38,,-15.42,,0.7,,-16.25,,,,,,
1967-01-05,83.0,,-14.05,,0.0,,-14.12,,,,,,
1967-01-06,80.5,,-11.7,,0.0,,-11.38,,,,,,
1967-01-07,85.5,,-12.54,,6.1,,-12.25,,,,,,
1967-01-08,87.0,,-10.44,,1.2,,-11.38,,,,,,
1967-01-09,87.12,,-12.95,,4.5,,-14.12,,,,,,
1967-01-10,83.5,,-20.64,,2.7,,-20.25,,,,,,
1967-01-11,84.75,,-15.96,,1.3,,-17.5,,,,,,
1967-01-12,83.75,,-16.09,,2.5,,-16.5,,,,,,
1967-01-13,83.88,,-12.11,,3.3,,-13.0,,,,,,
1967-01-14,82.12,,-16.91,,1.5,,-18.88,,,,,,
1967-01-15,81.38,,-23.68,,0.0,,-24.62,,,,,,
1967-01-16,77.25,,-29.28,,0.0,,-31.88,,,,,,
1967-01-17,81.0,,-21.89,,0.7,,-22.75,,,,,,
1967-01-18,86.38,,-7.28,,0.6,,-9.75,,,,,,
1967-01-19,90.75,,-6.32,,0.6,,-6.75,,,,,,
1967-01-20,86.38,,-6.96,,1.2,,-6.88,,,,,,
1967-01-21,76.5,,-17.72,,1.2,,-18.75,,,,,,
1967-01-22,72.0,,-28.0,,0.8,,-28.62,,,,,,
1967-01-23,73.88,,-22.94,,0.8,,-23.38,,,,,,
1967-01-24,77.62,,-26.39,,0.0,,-28.88,,,,,,
1967-01-25,81.75,,-17.91,,0.4,,-18.88,,,,,,
1967-01-26,77.38,,-18.44,,0.3,,-19.25,,,,,,
1967-01-27,81.75,,-20.56,,1.1,,-23.12,,,,,,
1967-01-28,81.0,,-22.25,,2.1,,-23.0,,,,,,
1967-01-29,76.62,,-30.15,,0.0,,-33.5,,,,,,
1967-01-30,72.62,,-37.0,,0.2,,-36.88,,,,,,
1967-01-31,70.5,,-41.64,,0.0,,-41.5,,,,,,
1967-02-01,71.12,,-37.47,,0.0,,-39.25,,,,,,
1967-02-02,73.12,,-19.16,,0.0,,-19.38,,,,,,
1967-02-03,66.88,,-17.66,,0.0,,-18.75,,,,,,
1967-02-04,70.88,,-22.71,,0.0,,-24.25,,,,,,
1967-02-05,62.25,,-19.46,,0.0,,-20.75,,,,,,
1967-02-06,62.62,,-16.56,,0.0,,-19.0,,,,,,
1967-02-07,76.62,,-14.02,,0.4,,-13.75,,,,,,
1967-02-08,80.0,,-9.95,,1.4,,-9.75,,,,,,
1967-02-09,83.0,,-8.72,,1.4,,-8.75,,,,,,
1967-02-10,83.75,,-8.55,,0.9,,-9.5,,,,,,
1967-02-11,87.12,,-16.81,,0.0,,-20.0,,,,,,
1967-02-12,86.5,,-16.51,,0.0,,-16.75,,,,,,
1967-02-13,84.0,,-16.21,,0.0,,-17.0,,,,,,
1967-02-14,83.25,,-9.15,,0.5,,-9.38,,,,,,
1967-02-15,76.12,,-10.71,,0.3,,-12.38,,,,,,
1967-02-16,72.12,,-6.85,,1.9,,-7.88,,,,,,
1967-02-17,84.25,,-9.49,,2.3,,-9.5,,,,,,
1967-02-18,86.0,,-2.47,,0.3,,-3.62,,,,,,
1967-02-19,79.75,,-6.94,,0.2,,-7.25,,,,,,
1967-02-20,86.38,,-11.79,,0.0,,-12.62,,,,,,
1967-02-21,70.0,,-5.8,,0.0,,-7.62,,,,,,
1967-02-22,72.62,,-9.29,,0.0,,-11.88,,,,,,
1967-02-23,85.5,,-11.77,,0.0,,-14.38,,,,,,
1967-02-24,82.12,,-17.89,,0.0,,-21.38,,,,,,
1967-02-25,79.75,,-15.85,,0.0,,-17.5,,,,,,
1967-02-26,79.0,,-9.3,,0.3,,-9.0,,,,,,
1967-02-27,77.88,,-5.6,,0.2,,-5.62,,,,,,
