date,Humidity,Intraday_max,Intraday_mean,Intraday_min,Precipitation,Soil_max,Soil_mean,Soil_min
1967-01-01,63.75,,-14.41,,0.0,,-15.62,
1967-01-02,78.12,,-21.39,,0.0,,-23.12,
1967-01-03,76.5,,-19.99,,0.0,,-23.62,
1967-01-04,76.88,,-15.75,,0.7,,-16.62,
1967-01-05,82.0,,-13.02,,0.0,,-12.88,
1967-01-06,81.88,,-11.88,,0.0,,-11.38,
1967-01-07,85.12,,-12.45,,6.1,,-12.5,
1967-01-08,87.38,,-10.28,,1.2,,-10.88,
1967-01-09,86.88,,-14.15,,4.5,,-15.88,
1967-01-10,83.75,,-19.65,,2.7,,-18.75,
1967-01-11,84.25,,-16.68,,1.3,,-18.12,
1967-01-12,83.62,,-15.52,,2.5,,-16.12,
1967-01-13,84.75,,-11.92,,3.3,,-13.12,
1967-01-14,81.0,,-18.22,,1.5,,-19.75,
1967-01-15,81.25,,-24.41,,0.0,,-25.88,
1967-01-16,76.88,,-29.31,,0.0,,-31.88,
1967-01-17,82.62,,-19.5,,0.7,,-20.0,
1967-01-18,86.75,,-7.4,,0.6,,-10.0,
1967-01-19,91.12,,-5.42,,0.6,,-5.75,
1967-01-20,85.5,,-7.89,,1.2,,-7.75,
1967-01-21,74.5,,-19.89,,1.2,,-21.25,
1967-01-22,71.75,,-27.46,,0.8,,-27.75,
1967-01-23,75.0,,-23.02,,0.8,,-23.88,
1967-01-24,77.88,,-26.09,,0.0,,-28.5,
1967-01-25,81.25,,-17.1,,0.4,,-17.75,
1967-01-26,78.0,,-18.91,,0.3,,-20.0,
1967-01-27,81.62,,-21.0,,1.1,,-23.62,
1967-01-28,81.0,,-22.45,,2.1,,-23.25,
1967-01-29,75.88,,-31.2,,0.0,,-34.25,
1967-01-30,72.25,,-37.89,,0.2,,-37.25,
1967-01-31,70.25,,-41.59,,0.0,,-42.38,
1967-02-01,72.0,,-36.14,,0.0,,-37.5,
1967-02-02,72.12,,-17.45,,0.0,,-17.5,
1967-02-03,67.62,,-18.5,,0.0,,-19.88,
1967-02-04,70.12,,-22.48,,0.0,,-23.75,
1967-02-05,62.12,,-19.03,,0.0,,-20.62,
1967-02-06,63.12,,-16.24,,0.0,,-18.38,
1967-02-07,77.75,,-13.8,,0.4,,-13.5,
1967-02-08,80.0,,-9.4,,1.4,,-9.25,
1967-02-09,83.38,,-8.71,,1.4,,-8.88,
1967-02-10,84.12,,-9.11,,0.9,,-9.88,
1967-02-11,87.25,,-16.94,,0.0,,-20.25,
1967-02-12,86.25,,-17.2,,0.0,,-18.0,
1967-02-13,84.12,,-15.36,,0.0,,-15.5,
1967-02-14,80.12,,-8.84,,0.5,,-9.12,
1967-02-15,78.75,,-10.61,,0.3,,-12.25,
1967-02-16,70.75,,-7.19,,1.9,,-8.5,
1967-02-17,86.5,,-8.29,,2.3,,-8.12,
1967-02-18,85.0,,-2.97,,0.3,,-4.0,
1967-02-19,81.0,,-7.85,,0.2,,-8.5,
1967-02-20,84.38,,-10.86,,0.0,,-11.38,
1967-02-21,68.12,,-6.04,,0.0,,-8.25,
1967-02-22,75.0,,-9.41,,0.0,,-12.0,
1967-02-23,86.25,,-12.69,,0.0,,-15.62,
1967-02-24,81.5,,-17.85,,0.0,,-21.12,
1967-02-25,78.75,,-15.36,,0.0,,-16.62,
1967-02-26,80.0,,-8.59,,0.3,,-8.12,
1967-02-27,76.75,,-5.39,,0.2,,-5.5,
1967-02-28,81.25,,-4.2,,0.0,,-4.62,
1967-03-01,79.38,,-5.94,,0.2,,-7.25,
1967-03-02,61.88,,-5.21,,0.0,,-6.75,
1967-03-03,75.5,,-7.36,,0.3,,-7.62,
1967-03-04,81.62,,-3.5,,0.4,,-4.25,
1967-03-05,81.62,,-2.59,,0.0,,-3.25,
1967-03-06,77.12,,-1.79,,0.0,,-2.75,
1967-03-07,79.75,,-1.87,,0.0,,-2.38,
1967-03-08,86.25,,-1.64,,0.5,,-0.88,
1967-03-09,84.0,,-1.36,,0.0,,-1.88,
1967-03-10,83.62,,0.02,,0.0,,-1.62,
1967-03-11,85.88,,1.4,,0.0,,0.25,
1967-03-12,91.0,,1.98,,1.5,,0.25,
1967-03-13,92.25,,0.82,,0.3,,0.0,
1967-03-14,79.0,,1.1,,0.0,,-0.75,
1967-03-15,83.0,,0.07,,0.0,,-0.88,
1967-03-16,79.62,,-1.66,,0.0,,-2.12,
1967-03-17,67.25,,-0.3,,0.0,,-0.88,
1967-03-18,86.12,,-1.93,,2.4,,-2.0,
1967-03-19,90.75,,-1.78,,1.7,,-2.0,
1967-03-20,86.75,,-2.28,,0.3,,-2.0,
1967-03-21,83.88,,-5.19,,0.0,,-3.88,
1967-03-22,86.12,,-4.11,,0.3,,-4.12,
1967-03-23,86.25,,-2.19,,0.9,,-2.0,
1967-03-24,74.25,,-0.24,,1.5,,-1.12,
1967-03-25,86.25,,-1.71,,1.3,,-2.0,
1967-03-26,73.38,,-3.27,,0.0,,-3.88,
1967-03-27,69.62,,-2.29,,0.0,,-3.75,
1967-03-28,58.25,,2.99,,0.0,,0.0,
1967-03-29,63.12,,2.78,,0.0,,-0.12,
1967-03-30,62.75,,3.11,,0.0,,-0.88,
1967-03-31,60.38,,2.16,,0.5,,1.0,
1967-04-01,86.38,,1.23,,6.6,,0.62,
1967-04-02,91.5,,0.51,,0.0,,0.25,
1967-04-03,89.12,,2.1,,0.5,,0.25,
1967-04-04,71.0,,4.4,,0.0,,2.88,
1967-04-05,60.62,,4.88,,0.0,,4.0,
1967-04-06,53.25,,6.3,,0.0,,4.25,
1967-04-07,56.12,,6.49,,0.0,,5.12,
1967-04-08,58.38,,6.32,,0.0,,5.0,
1967-04-09,64.12,,5.71,,0.0,,5.88,
1967-04-10,65.75,,4.82,,0.0,,4.88,
1967-04-11,58.88,,6.29,,0.0,,4.88,
1967-04-12,79.25,,4.27,,1.5,,3.88,
1967-04-13,66.38,,2.22,,0.0,,3.25,
