date,Сумма осадков,Температура поверхности почвы,Мин. температура пов-сти почвы между сроками,Макс. температура пов-сти почвы между сроками,Температура воздуха по сухому терм-ру,Мин.температура воздуха между сроками,Макс. темперура воздуха между сроками,Относительная влажность воздуха
2020-11-09 15:00:00,0.0,,,,0.7,,,96.0
2020-11-09 18:00:00,1.0,,,,0.1,,,98.0
2020-11-09 21:00:00,0.0,,,,-0.7,,,99.0
2020-11-10 00:00:00,0.0,,,,-0.6,,,99.0
2020-11-10 03:00:00,0.0,,,,-1.3,,,97.0
2020-11-10 06:00:00,0.5,,,,-1.0,,,97.0
2020-11-10 09:00:00,0.0,,,,-1.1,,,96.0
2020-11-10 12:00:00,0.0,,,,-0.6,,,93.0
2020-11-10 15:00:00,0.0,,,,-0.6,,,96.0
2020-11-10 18:00:00,1.0,,,,-1.6,,,97.0
2020-11-10 21:00:00,0.0,,,,-1.5,,,94.0
2020-11-11 00:00:00,0.0,,,,-2.4,,,93.0
2020-11-11 03:00:00,0.0,,,,-2.5,,,94.0
2020-11-11 06:00:00,0.7,,,,-2.4,,,94.0
2020-11-11 09:00:00,0.0,,,,-2.6,,,89.0
2020-11-11 12:00:00,0.0,,,,-1.8,,,86.0
2020-11-11 15:00:00,0.0,,,,-2.2,,,89.0
2020-11-11 18:00:00,0.6,,,,-2.4,,,93.0
2020-11-11 21:00:00,0.0,,,,-2.0,,,96.0
2020-11-12 00:00:00,0.0,,,,-2.3,,,94.0
2020-11-12 03:00:00,0.0,,,,-2.1,,,88.0
2020-11-12 06:00:00,0.9,,,,-2.4,,,88.0
2020-11-12 09:00:00,0.0,,,,-2.1,,,90.0
2020-11-12 12:00:00,0.0,,,,-0.9,,,82.0
2020-11-12 15:00:00,0.0,,,,-2.6,,,96.0
2020-11-12 18:00:00,0.7,,,,-2.6,,,86.0
2020-11-12 21:00:00,0.0,,,,-3.1,,,88.0
2020-11-13 00:00:00,0.0,,,,-3.1,,,87.0
2020-11-13 03:00:00,0.0,,,,-3.0,,,69.0
2020-11-13 06:00:00,0.0,,,,-3.5,,,82.0
2020-11-13 09:00:00,0.0,,,,-4.1,,,81.0
2020-11-13 12:00:00,0.0,,,,-4.9,,,75.0
2020-11-13 15:00:00,0.0,,,,-5.4,,,73.0
2020-11-13 18:00:00,0.0,,,,-6.0,,,74.0
2020-11-13 21:00:00,0.0,,,,-7.0,,,78.0
2020-11-14 00:00:00,0.0,,,,-7.9,,,75.0
2020-11-14 03:00:00,0.0,,,,-8.2,,,76.0
2020-11-14 06:00:00,0.0,,,,-8.4,,,80.0
2020-11-14 09:00:00,0.0,,,,-11.1,,,88.0
2020-11-14 12:00:00,0.0,,,,-8.6,,,75.0
2020-11-14 15:00:00,0.0,,,,-9.5,,,82.0
2020-11-14 18:00:00,0.0,,,,-11.0,,,90.0
2020-11-14 21:00:00,0.0,,,,-10.3,,,89.0
2020-11-15 00:00:00,0.0,,,,-9.7,,,92.0
2020-11-15 03:00:00,0.0,,,,-9.2,,,93.0
2020-11-15 06:00:00,0.3,,,,-8.9,,,94.0
2020-11-15 09:00:00,0.0,,,,-8.2,,,95.0
2020-11-15 12:00:00,0.0,,,,-6.4,,,94.0
2020-11-15 15:00:00,0.0,,,,-6.0,,,96.0
2020-11-15 18:00:00,0.5,,,,-5.5,,,96.0
2020-11-15 21:00:00,0.0,,,,-4.6,,,96.0
2020-11-16 00:00:00,0.0,,,,-3.6,,,97.0
2020-11-16 03:00:00,0.0,,,,-3.5,,,98.0
2020-11-16 06:00:00,0.2,,,,-2.5,,,98.0
2020-11-16 09:00:00,0.0,,,,-1.6,,,98.0
2020-11-16 12:00:00,0.0,,,,-0.8,,,93.0
2020-11-16 15:00:00,0.0,,,,-1.9,,,93.0
2020-11-16 18:00:00,0.0,,,,-2.3,,,88.0
2020-11-16 21:00:00,0.0,,,,-3.1,,,91.0
2020-11-17 00:00:00,0.0,,,,-6.6,,,95.0
2020-11-17 03:00:00,0.0,,,,-9.1,,,95.0
2020-11-17 06:00:00,0.0,,,,-10.0,,,95.0
2020-11-17 09:00:00,0.0,,,,-10.3,,,94.0
2020-11-17 12:00:00,0.0,,,,-8.8,,,86.0
2020-11-17 15:00:00,0.0,,,,-9.6,,,93.0
2020-11-17 18:00:00,0.5,,,,-10.8,,,92.0
2020-11-17 21:00:00,0.0,,,,-11.6,,,92.0
2020-11-18 00:00:00,0.0,,,,-12.3,,,91.0
2020-11-18 03:00:00,0.0,,,,-12.0,,,89.0
2020-11-18 06:00:00,0.0,,,,-12.0,,,86.0
2020-11-18 09:00:00,0.0,,,,-11.5,,,85.0
2020-11-18 12:00:00,0.0,,,,-7.6,,,70.0
2020-11-18 15:00:00,0.0,,,,-7.1,,,68.0
2020-11-18 18:00:00,0.0,,,,-7.1,,,68.0
2020-11-18 21:00:00,0.0,,,,-7.0,,,72.0
2020-11-19 00:00:00,0.0,,,,-6.9,,,76.0
2020-11-19 03:00:00,0.0,,,,-7.1,,,90.0
2020-11-19 06:00:00,1.0,,,,-5.9,,,87.0
2020-11-19 09:00:00,0.0,,,,-5.5,,,90.0
2020-11-19 12:00:00,0.0,,,,-4.8,,,92.0
2020-11-19 15:00:00,0.0,,,,-4.3,,,95.0
2020-11-19 18:00:00,2.0,,,,-3.3,,,94.0
2020-11-19 21:00:00,0.0,,,,-2.4,,,94.0
2020-11-20 00:00:00,0.0,,,,-1.7,,,94.0
2020-11-20 03:00:00,0.0,,,,-0.5,,,97.0
2020-11-20 06:00:00,1.0,,,,0.7,,,98.0
2020-11-20 09:00:00,0.0,,,,1.1,,,95.0
2020-11-20 12:00:00,0.0,,,,1.0,,,94.0
2020-11-20 15:00:00,0.0,,,,1.1,,,92.0
2020-11-20 18:00:00,0.5,,,,0.3,,,96.0
